Отметка времени,Пол:,Ваш возраст:,К какой социальной группе Вы себя относите?,Я часто курю,Я часто употребляю алкоголь,Я часто играю в компьютерные игры ,У меня есть пищевая зависимость,Я зависим(-а) от интернета,У меня много зависимостей ,"Когда я играю за компьютером, то теряю чувство времени",Я считаю алкоголь лучшим способом справиться со стрессом,"Я продолжаю есть, даже если испытываю чувство сытости",Для меня самый простой и лучший способ расслабиться - это курение,Я сильно раздражаюсь из-за отсутствия интернета,Мне тяжело бороться со своими вредными привычками ,Я провожу за телефоном больше 5 часов в день,"На любом мероприятии (праздник, встреча с друзьями и т.д.) должен быть алкоголь","Я часто заедаю стресс, скуку","Компьютерные игры более интересны, чем реальная жизнь",Я ежедневно курю,Глупо пытаться показать свою силу воли и отказываться от различных радостей жизни,Укажите свой возраст:
15.05.2023 11:15:11,Женский,,Работник,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),53
15.05.2023 11:20:18,Женский,,Пенсионер,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Нейтрально,Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),70
15.05.2023 11:22:32,Женский,,Школьник,Полностью согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью согласен(-а),Не согласен(-а),Нейтрально,Согласен(-а),Не согласен(-а),Нейтрально,Согласен(-а),Согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью согласен(-а),Нейтрально,17
15.05.2023 11:23:35,Мужской,,Пенсионер,Полностью согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Полностью согласен(-а),Нейтрально,Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Согласен(-а),70
15.05.2023 11:27:17,Женский,,Студент,Полностью согласен(-а),Нейтрально,Полностью не согласен(-а),Нейтрально,Полностью согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью согласен(-а),Согласен(-а),Нейтрально,Полностью согласен(-а),Нейтрально,Не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Полностью не согласен(-а),17
15.05.2023 11:29:46,Мужской,,Работник,Согласен(-а),Согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Нейтрально,Не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Нейтрально,Согласен(-а),Нейтрально,Нейтрально,Не согласен(-а),Не согласен(-а),Полностью согласен(-а),Нейтрально,19
15.05.2023 11:31:34,Женский,,Работник,Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Не согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),23
15.05.2023 11:32:26,Женский,,Пенсионер,Не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),70 лет
15.05.2023 11:50:27,Женский,,Работник,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),40
15.05.2023 12:17:36,Женский,,Школьник,Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Согласен(-а),Полностью не согласен(-а),Нейтрально,Согласен(-а),Полностью согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),17
15.05.2023 12:32:04,Женский,,Безработный,Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Нейтрально,Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Согласен(-а),Не согласен(-а),Согласен(-а),Нейтрально,Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),42
15.05.2023 13:35:27,Мужской,,Работник,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),32
15.05.2023 13:37:07,Мужской,,Школьник,Полностью не согласен(-а),Нейтрально,Нейтрально,Согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Нейтрально,Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,18
15.05.2023 13:58:55,Мужской,,Работник,Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Не согласен(-а),Согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),46
15.05.2023 15:04:05,Женский,,Студент,Полностью согласен(-а),Нейтрально,Полностью не согласен(-а),Нейтрально,Согласен(-а),Нейтрально,Согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Согласен(-а),20
15.05.2023 16:58:53,Женский,,Пенсионер,Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,59
15.05.2023 17:00:50,Женский,,Пенсионер,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),84
15.05.2023 18:08:06,Женский,,Студент,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,19
15.05.2023 19:11:15,Мужской,,Школьник,Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Нейтрально,Нейтрально,Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),15
15.05.2023 20:15:44,Женский,,Работник,Согласен(-а),Нейтрально,Не согласен(-а),Согласен(-а),Согласен(-а),Согласен(-а),Нейтрально,Не согласен(-а),Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Согласен(-а),Согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),25
15.05.2023 20:44:22,Женский,,Студент,Нейтрально,Не согласен(-а),Полностью не согласен(-а),Нейтрально,Нейтрально,Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Нейтрально,22
15.05.2023 20:49:01,Мужской,,Работник,Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Нейтрально,Нейтрально,Нейтрально,Согласен(-а),Не согласен(-а),Согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Нейтрально,Нейтрально,Нейтрально,Полностью не согласен(-а),Нейтрально,35
15.05.2023 21:30:29,Женский,,Работник,Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Нейтрально,Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),58
16.05.2023 0:28:43,Женский,,Студент,Полностью согласен(-а),Согласен(-а),Нейтрально,Не согласен(-а),Согласен(-а),Согласен(-а),Согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Согласен(-а),Согласен(-а),Полностью согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Не согласен(-а),22
16.05.2023 7:59:04,Женский,,Безработный,Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),47
16.05.2023 13:25:20,Мужской,,Работник,Не согласен(-а),Согласен(-а),Полностью не согласен(-а),Согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Согласен(-а),Согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),43
16.05.2023 17:35:35,Женский,,Школьник,Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),10
16.05.2023 17:38:38,Женский,,Школьник,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),10
16.05.2023 18:21:21,Мужской,,Работник,Полностью согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Нейтрально,Не согласен(-а),Нейтрально,Не согласен(-а),Согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Нейтрально,46
17.05.2023 3:16:02,Женский,,Пенсионер,Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),52лет
17.05.2023 3:28:12,Мужской,,Работник,Полностью согласен(-а),Полностью согласен(-а),Нейтрально,Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Полностью не согласен(-а),Согласен(-а),Не согласен(-а),53 лет
18.05.2023 15:24:13,Женский,,Студент,Не согласен(-а),Нейтрально,Согласен(-а),Согласен(-а),Согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Согласен(-а),Согласен(-а),Не согласен(-а),Согласен(-а),Согласен(-а),Не согласен(-а),Согласен(-а),19
18.05.2023 15:24:19,Мужской,,Студент,Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,23
18.05.2023 15:24:39,Женский,,Студент,Согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Согласен(-а),Нейтрально,Согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Согласен(-а),Нейтрально,20
18.05.2023 15:24:54,Женский,,Студент,Полностью не согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Согласен(-а),Нейтрально,Полностью согласен(-а),Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Нейтрально,Нейтрально,Полностью согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,18
18.05.2023 15:24:54,Женский,,Студент,Полностью согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Согласен(-а),Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Нейтрально,Согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Полностью согласен(-а),Нейтрально,17
18.05.2023 15:24:55,Женский,,Студент,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),19
18.05.2023 15:26:57,Женский,,Студент,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Полностью не согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,20
18.05.2023 15:27:49,Мужской,,Студент,Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Нейтрально,Согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),21
18.05.2023 15:28:57,Женский,,Студент,Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),19
18.05.2023 15:33:49,Женский,,Студент,Нейтрально,Нейтрально,Нейтрально,Не согласен(-а),Полностью согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Нейтрально,Полностью не согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),19
18.05.2023 15:35:55,Женский,,Студент,Согласен(-а),Нейтрально,Полностью не согласен(-а),Согласен(-а),Согласен(-а),Согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Согласен(-а),Нейтрально,Не согласен(-а),Согласен(-а),Нейтрально,Согласен(-а),Полностью не согласен(-а),Согласен(-а),Согласен(-а),18
18.05.2023 15:37:43,Женский,,Студент,Полностью не согласен(-а),Не согласен(-а),Нейтрально,Нейтрально,Согласен(-а),Согласен(-а),Согласен(-а),Полностью не согласен(-а),Согласен(-а),Согласен(-а),Нейтрально,Полностью согласен(-а),Полностью согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Согласен(-а),19
18.05.2023 15:41:18,Женский,,Студент,Согласен(-а),Полностью согласен(-а),Полностью не согласен(-а),Нейтрально,Согласен(-а),Полностью согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Полностью не согласен(-а),Согласен(-а),Согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Нейтрально,21
18.05.2023 15:44:46,Женский,,Студент,Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Согласен(-а),Согласен(-а),Полностью согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),21
18.05.2023 15:44:59,Мужской,,Студент,Согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Согласен(-а),Не согласен(-а),19
18.05.2023 15:45:23,Женский,,Студент,Нейтрально,Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью согласен(-а),Не согласен(-а),Полностью согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,19
18.05.2023 15:46:08,Мужской,,Студент,Не согласен(-а),Не согласен(-а),Согласен(-а),Согласен(-а),Полностью согласен(-а),Согласен(-а),Согласен(-а),Полностью не согласен(-а),Согласен(-а),Не согласен(-а),Полностью согласен(-а),Согласен(-а),Согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),23
18.05.2023 15:49:13,Мужской,,Студент,Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Полностью согласен(-а),Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Нейтрально,Полностью согласен(-а),Согласен(-а),20
18.05.2023 15:49:34,Женский,,Студент,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),23
18.05.2023 15:49:58,Женский,,Студент,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,18
18.05.2023 15:52:25,Мужской,,Работник,Нейтрально,Согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Согласен(-а),Согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),23
18.05.2023 15:56:38,Мужской,,Студент,Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Согласен(-а),Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Нейтрально,Нейтрально,Согласен(-а),Нейтрально,Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),18
18.05.2023 16:06:00,Женский,,Студент,Полностью согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Не согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Нейтрально,Полностью согласен(-а),Полностью согласен(-а),Нейтрально,Полностью согласен(-а),Нейтрально,Полностью согласен(-а),Нейтрально,18
18.05.2023 16:07:57,Мужской,,Студент,Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Согласен(-а),Полностью согласен(-а),Нейтрально,Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Нейтрально,Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),я щ
18.05.2023 16:09:23,Мужской,,Студент,Полностью согласен(-а),Не согласен(-а),Полностью не согласен(-а),Нейтрально,Согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Согласен(-а),Нейтрально,Полностью согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Согласен(-а),20
18.05.2023 16:17:01,Женский,,Студент,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Полностью согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),22
18.05.2023 18:44:41,Женский,,Студент,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Согласен(-а),Согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Согласен(-а),Полностью не согласен(-а),Не согласен(-а),18
18.05.2023 20:17:27,Женский,,Работник,Согласен(-а),Согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Полностью не согласен(-а),Согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Согласен(-а),45
20.05.2023 2:35:56,Женский,,Студент,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Согласен(-а),Нейтрально,Не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),19